deployment_level,mach,cd
0.0,0.0,0.0
0.0,0.1,0.0
0.0,0.2,0.0
0.0,0.3,0.0
0.0,0.4,0.0
0.0,0.5,0.0
0.0,0.6,0.0
0.0,0.7,0.0
0.0,0.8,0.0
0.0,0.9,0.0
0.0,1.0,0.0
0.0,1.1,0.0
0.0,1.2,0.0
0.0,1.3,0.0
0.0,1.4,0.0
0.0,1.5,0.0
0.1,0.0,0.0
0.1,0.1,0.0
0.1,0.2,0.0
0.1,0.3,0.0225
0.1,0.4,0.011
0.1,0.5,0.013
0.1,0.6,0.038
0.1,0.7,0.0255
0.1,0.8,0.029
0.1,0.9,0.011
0.1,1.0,0.0
0.1,1.1,0.0
0.1,1.2,0.0
0.1,1.3,0.0
0.1,1.4,0.0
0.1,1.5,0.0
0.2,0.0,0.0
0.2,0.1,0.011
0.2,0.2,0.031
0.2,0.3,0.0465
0.2,0.4,0.038
0.2,0.5,0.035
0.2,0.6,0.0645
0.2,0.7,0.051
0.2,0.8,0.0575
0.2,0.9,0.042
0.2,1.0,0.009
0.2,1.1,0.0
0.2,1.2,0.0
0.2,1.3,0.0
0.2,1.4,0.0
0.2,1.5,0.0
0.3,0.0,0.0
0.3,0.1,0.028
0.3,0.2,0.053
0.3,0.3,0.0735
0.3,0.4,0.0695
0.3,0.5,0.0695
0.3,0.6,0.0915
0.3,0.7,0.0845
0.3,0.8,0.0915
0.3,0.9,0.0745
0.3,1.0,0.0465
0.3,1.1,0.035
0.3,1.2,0.035
0.3,1.3,0.035
0.3,1.4,0.035
0.3,1.5,0.035
0.4,0.0,0.0
0.4,0.1,0.06
0.4,0.2,0.0845
0.4,0.3,0.107
0.4,0.4,0.0975
0.4,0.5,0.107
0.4,0.6,0.131
0.4,0.7,0.1265
0.4,0.8,0.1355
0.4,0.9,0.1265
0.4,1.0,0.096
0.4,1.1,0.082
0.4,1.2,0.082
0.4,1.3,0.082
0.4,1.4,0.082
0.4,1.5,0.082
0.5,0.0,0.0
0.5,0.1,0.1085
0.5,0.2,0.1085
0.5,0.3,0.1375
0.5,0.4,0.1285
0.5,0.5,0.142
0.5,0.6,0.1745
0.5,0.7,0.17
0.5,0.8,0.18
0.5,0.9,0.17
0.5,1.0,0.144
0.5,1.1,0.1265
0.5,1.2,0.1265
0.5,1.3,0.1265
0.5,1.4,0.1265
0.5,1.5,0.1265
0.6,0.0,0.0
0.6,0.1,0.1225
0.6,0.2,0.144
0.6,0.3,0.191
0.6,0.4,0.18
0.6,0.5,0.191
0.6,0.6,0.2285
0.6,0.7,0.2225
0.6,0.8,0.2235
0.6,0.9,0.217
0.6,1.0,0.2015
0.6,1.1,0.18
0.6,1.2,0.18
0.6,1.3,0.18
0.6,1.4,0.18
0.6,1.5,0.18
0.7,0.0,0.0
0.7,0.1,0.16
0.7,0.2,0.196
0.7,0.3,0.2435
0.7,0.4,0.238
0.7,0.5,0.238
0.7,0.6,0.282
0.7,0.7,0.2635
0.7,0.8,0.2655
0.7,0.9,0.2635
0.7,1.0,0.26
0.7,1.1,0.2435
0.7,1.2,0.2435
0.7,1.3,0.2435
0.7,1.4,0.2435
0.7,1.5,0.2435
0.8,0.0,0.0
0.8,0.1,0.213
0.8,0.2,0.2535
0.8,0.3,0.284
0.8,0.4,0.269
0.8,0.5,0.269
0.8,0.6,0.3085
0.8,0.7,0.3065
0.8,0.8,0.312
0.8,0.9,0.3065
0.8,1.0,0.26
0.8,1.1,0.2955
0.8,1.2,0.2955
0.8,1.3,0.2955
0.8,1.4,0.2955
0.8,1.5,0.2955
0.9,0.0,0.0
0.9,0.1,0.2535
0.9,0.2,0.284
0.9,0.3,0.3065
0.9,0.4,0.3
0.9,0.5,0.3045
0.9,0.6,0.342
0.9,0.7,0.342
0.9,0.8,0.351
0.9,0.9,0.354
0.9,1.0,0.312
0.9,1.1,0.337
0.9,1.2,0.337
0.9,1.3,0.337
0.9,1.4,0.337
0.9,1.5,0.337
1.0,0.0,0.0
1.0,0.1,0.466
1.0,0.2,0.466
1.0,0.3,0.466
1.0,0.4,0.441
1.0,0.5,0.399
1.0,0.6,0.4625
1.0,0.7,0.441
1.0,0.8,0.458
1.0,0.9,0.405
1.0,1.0,0.4195
1.0,1.1,0.399
1.0,1.2,0.399
1.0,1.3,0.399
1.0,1.4,0.399
1.0,1.5,0.399
1.1,0.0,0.0
1.1,1.2,0.0
1.1,1.3,0.0
1.1,1.4,0.0
1.1,1.5,0.0
